Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man United,38,27,5,6,80,22,58,87
2,Chelsea,38,25,3,10,65,26,39,85
3,Arsenal,38,24,3,11,74,31,43,83
4,Liverpool,38,21,4,13,67,28,39,76
5,Everton,38,19,11,8,55,33,22,65
6,Aston Villa,38,16,10,12,71,51,20,60
7,Blackburn,38,15,10,13,50,48,2,58
8,Portsmouth,38,16,13,9,48,40,8,57
9,Man City,38,15,13,10,45,53,-8,55
10,West Ham,38,13,15,10,42,50,-8,49
11,Tottenham,38,11,14,13,66,61,5,46
12,Newcastle,38,11,17,10,45,65,-20,43
13,Middlesbrough,38,10,16,12,43,53,-10,42
14,Wigan,38,10,18,10,34,51,-17,40
15,Sunderland,38,11,21,6,36,59,-23,39
16,Bolton,38,9,19,10,36,54,-18,37
17,Fulham,38,8,18,12,38,60,-22,36
18,Reading,38,10,22,6,41,66,-25,36
19,Birmingham,38,8,19,11,46,62,-16,35
20,Derby,38,1,29,8,20,89,-69,11
